Date,Price,Open,High,Low,Close
2020-01-01,250.64589269126404,248.15112842526048,252.15259305286088,247.50520232250267,250.99234651025986
2020-01-02,250.49768038456122,248.30166599752843,252.14323322399756,248.89360682843494,250.12195106935036
2020-01-03,251.33395253462913,249.73353548040504,252.8941088341674,247.98822010642198,252.4105982010959
2020-01-04,253.273031498079,251.99629474833927,254.81155453101667,251.63674305047056,252.17287952357017
2020-01-05,253.00183512597036,250.59727798071,254.8042845161024,249.2402767384966,253.12684796785393
2020-01-06,252.7309499105882,250.71099061063896,255.14179911003717,250.23341327127417,252.9605970913242
2020-01-07,254.75180278045008,253.22338236078764,256.67143358997185,252.89069458118013,255.1408804291253
2020-01-08,255.75480486456826,253.45817228552224,257.27388659051854,254.30926724324613,255.1299094908323
2020-01-09,255.18002869523622,253.33646137474008,256.554137002719,253.6724305368771,254.83442926611843
2020-01-10,255.89779913556148,254.27677780052312,258.06801225821675,254.1567341508682,256.77727004703155
2020-01-11,255.3304510771191,253.56354578070727,257.0958042384812,253.76831729048047,254.55154707308725
2020-01-12,254.76140918193113,252.4533023218702,257.0820702781478,251.44752292320854,255.5941423155526
2020-01-13,255.09509856921449,252.99743189141665,257.2117638847299,251.99361229994034,255.25492948202717
2020-01-14,252.6802660160638,251.14370693892803,254.9496398538232,249.6202284632961,253.34276211680987
2020-01-15,250.52627055878918,248.71524936135273,252.1195500468268,247.7129956517412,251.06141312712788
2020-01-16,249.8469841974328,247.35504737131956,251.96113806221535,247.08197926765382,249.11621048952776
2020-01-17,248.60670489126824,247.06657486887198,250.17797631523334,246.23140536683314,248.777777967862
2020-01-18,249.02218553114426,246.57593022973924,251.43654088438058,245.68498882913423,249.93789776296353
2020-01-19,247.91649705069142,246.36173061591995,249.9449179493994,245.91146410976904,247.74820200290458
2020-01-20,246.19062176836263,243.97795962569444,247.82103368648612,242.9102955468267,247.33932448668918
2020-01-21,248.01938573911363,246.72729586188322,249.59370350048485,245.068720144239,247.90086992390985
2020-01-22,247.76420318088196,245.74237388439383,249.23954806286795,245.29484918526484,246.8791538599245
2020-01-23,247.87263496033376,245.79909561669822,249.97291055929725,246.1287036416699,247.59857378848994
2020-01-24,246.13164178847137,243.8535556719417,247.63146416197347,244.25973492593542,247.2434243373184
2020-01-25,245.4863058839069,243.40655107468405,247.44443141149227,243.38870974041197,245.04374525667242
2020-01-26,245.64700439843006,244.26726752217922,247.20027342853774,242.34495168072255,246.5512265013892
2020-01-27,244.2578784769918,243.03211225003494,246.28762351974177,241.93021165534466,245.18911330374706
2020-01-28,244.7411402693851,242.7444313390329,246.9620923628012,241.28404073097505,244.37448506075793
2020-01-29,244.03060939410886,242.13767692843032,246.20007231212236,241.29103191316307,243.01363051744653
2020-01-30,243.69910143745574,242.1419506171517,245.8446908730196,241.05135098450586,244.2463470442825
2020-01-31,242.99029454395307,241.63707646710762,244.43331962993113,239.4421780597652,242.53228772414803
2020-02-01,245.2650216815633,243.53963662215992,246.5997354696635,242.25804332790977,245.95893434541438
2020-02-02,245.27299619814153,243.30041964156334,247.35652754589367,243.9378513366855,245.1323440262955
2020-02-03,244.00038385447866,242.0637794537029,245.66977008153876,242.6672453203274,243.96443464924036
2020-02-04,245.02829026431775,243.4302379872393,246.78311699892853,242.21616686752662,245.70924693215736
2020-02-05,243.55708693218196,241.12543521740233,244.81280527834951,240.00870399801838,243.2705744881516
2020-02-06,243.83579368470285,242.15282603714633,245.3714428007805,240.61495434619232,243.69711779578142
2020-02-07,241.4709886639892,239.48548502082136,242.7190029800002,238.7960160175494,241.17202456486694
2020-02-08,239.89154377106948,238.44523445265338,242.1455476511792,238.5668139635106,239.5733048852094
2020-02-09,240.15165965435318,237.86180234023888,241.6446785397714,236.88847665403884,240.2139707894055
2020-02-10,241.0623946942445,239.36073798247787,242.9394718314626,239.2870083504474,241.80679402996148
2020-02-11,241.29305317490534,239.4603997286312,242.54654563724486,237.93590079480697,240.95950971428806
2020-02-12,241.17765684446337,239.54045310236478,243.18768858522537,239.92656602455745,241.23615381113044
2020-02-13,240.83867719130063,238.5083866889195,242.43185797049728,238.1451771618293,241.24985462350065
2020-02-14,239.08233465722807,237.3848307004641,241.351129408271,237.34954847203872,238.53110510265222
2020-02-15,238.24573272103137,236.532131929171,240.49491322796385,235.48825536569618,237.71569029743387
2020-02-16,237.72083118676832,236.01002579318995,239.29607712357324,235.64711839084936,238.75114447480104
2020-02-17,239.00110314130083,237.33226320013145,241.2727618967933,235.87500715491873,239.53535323746434
2020-02-18,239.4356290029469,237.85112534316804,241.8253853436631,236.1937209139329,239.62044140666862
2020-02-19,237.34889942306356,235.93072669444246,239.51520141741074,236.01515084286498,237.69951134645802
2020-02-20,237.75723918028842,235.70042593594215,239.95039677171394,236.37265342594273,236.63811453140485
2020-02-21,237.32323440496128,235.92901903375088,238.8053283702286,235.8695558821395,237.60352018276046
2020-02-22,236.54372013563935,234.76757919758953,238.40851539050237,234.4749878836015,236.56621277810683
2020-02-23,237.29081543205885,235.00933338719614,238.55706556255888,235.6493994298512,237.39937522026503
2020-02-24,238.53777810061771,236.22223336244946,239.84367455987746,235.12439060448554,238.20245082060106
2020-02-25,239.67235933044404,237.67617416924222,242.0677558723151,236.87967073596656,238.66926794667887
2020-02-26,238.69064034746594,237.2404717543589,240.27392220724371,235.85906073952683,237.95866980048012
2020-02-27,238.34547891152425,236.8053868789459,240.42883757023776,236.28532861463805,239.41980855689937
